sequence_no,event_type,node_id,lot_id,time_bucket,payload
95,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024360002,43,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 43}"
96,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024360003,44,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 44}"
97,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024360004,44,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 44}"
98,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024360005,44,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 44}"
99,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024360006,44,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 44}"
100,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024360007,44,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 44}"
101,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024370001,45,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 45}"
102,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024370002,45,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 45}"
103,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024370003,45,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 45}"
104,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024370004,45,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 45}"
105,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024370005,45,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 45}"
106,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024370006,46,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 46}"
107,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024370007,46,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 46}"
108,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024380001,46,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 46}"
109,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024380002,46,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 46}"
110,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024380003,46,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 46}"
111,lot_move_to_inventory,supply_point,CS_CAL-CAL_RICE_1-2024380004,47,"{""from_slot"": ""prev_I_or_P"", ""to_slot"": ""I"", ""prev_inventory_size"": 5, ""production_size"": 5, ""sales_size"": 5, ""week_no"": 47}"
